timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1613381618194,8,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,322,1,3,7,0,2
1613381618198,17,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,590,1,3,0,0,1
1613381618203,12,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,332,1,3,5,0,1
1613381619386,8,Ticks,204,,Thread Group - Ticks 1-2,,true,,102,590,2,5,0,0,2
1613381619396,13,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,322,2,6,5,0,2
1613381619404,20,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,332,2,6,5,0,2
1613381620583,9,Ticks,204,,Thread Group - Ticks 1-3,,true,,102,590,3,7,0,0,2
1613381620593,26,Statistics,200,,Thread Group - Statistics 2-3,text,true,,214,322,3,9,5,0,2
1613381620602,19,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,258,332,3,9,4,0,1
1613381621183,6,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,587,3,9,0,0,0
1613381621193,21,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,322,3,9,3,0,0
1613381621201,22,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,3,9,4,0,0
1613381621783,10,Ticks,204,,Thread Group - Ticks 1-4,,true,,102,590,4,11,0,0,3
1613381621792,20,Statistics,200,,Thread Group - Statistics 2-4,text,true,,214,322,4,12,6,0,3
1613381621802,12,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,258,332,4,12,3,0,1
