timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1613384553603,6,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,322,1,2,5,0,3
1613384553618,11,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,332,1,3,10,0,1
1613384553609,8,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,535,1,3,8,0,1
1613384554817,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,332,2,6,2,0,0
1613384554805,15,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,322,2,6,5,0,2
1613384554798,7,Ticks,201,,Thread Group - Ticks 1-2,,true,,121,535,2,5,7,0,2
1613384555996,7,Ticks,201,,Thread Group - Ticks 1-3,,true,,121,535,3,7,7,0,1
1613384556006,87,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,322,3,9,4,0,1
1613384556014,82,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,4,0,1
1613384556598,3,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,532,3,9,3,0,0
1613384556616,14,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,3,9,3,0,0
1613384556602,14,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,3,9,2,0,0
1613384557197,5,Ticks,204,,Thread Group - Ticks 1-4,,true,,102,535,4,10,0,0,1
1613384557205,33,Statistics,200,,Thread Group - Statistics 2-4,text,true,,214,322,4,12,4,0,2
1613384557216,24,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,4,0,1
1613384558394,3,Ticks,204,,Thread Group - Ticks 1-5,,true,,102,535,5,13,0,0,1
1613384558417,20,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,15,16,0,14
1613384558405,11,Statistics,200,,Thread Group - Statistics 2-5,text,true,,220,322,5,15,2,0,1
1613384559594,4,Ticks,204,,Thread Group - Ticks 1-6,,true,,102,535,6,16,0,0,1
1613384559605,4,Statistics,200,,Thread Group - Statistics 2-6,text,true,,220,322,6,17,3,0,1
1613384559616,7,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,264,332,6,18,5,0,2
1613384560795,5,Ticks,201,,Thread Group - Ticks 1-7,,true,,121,535,7,19,5,0,1
1613384560805,21,Statistics,200,,Thread Group - Statistics 2-7,text,true,,220,322,7,21,3,0,1
1613384560804,10,Statistics,200,,Thread Group - Statistics 2-2,text,true,,220,322,7,20,3,0,0
1613384560816,10,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,264,329,7,21,4,0,0
1613384560796,15,Ticks,204,,Thread Group - Ticks 1-2,,true,,102,532,7,20,0,0,0
1613384560818,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,264,332,7,21,3,0,1
1613384562005,20,Statistics,200,,Thread Group - Statistics 2-8,text,true,,221,323,8,24,6,0,2
1613384561996,9,Ticks,201,,Thread Group - Ticks 1-8,,true,,121,536,8,23,9,0,2
1613384562018,16,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-8,text,true,,264,333,8,24,3,0,1
1613384563195,3,Ticks,204,,Thread Group - Ticks 1-9,,true,,102,536,9,25,0,0,1
1613384563205,5,Statistics,200,,Thread Group - Statistics 2-9,text,true,,220,323,9,26,2,0,0
1613384563227,2,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-9,text,true,,264,333,9,27,1,0,0
1613384564395,4,Ticks,204,,Thread Group - Ticks 1-10,,true,,102,536,10,28,0,0,1
1613384564405,9,Statistics,200,,Thread Group - Statistics 2-10,text,true,,221,323,10,29,2,0,1
1613384564427,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-10,text,true,,264,333,10,30,2,0,0
1613384564998,9,Ticks,204,,Thread Group - Ticks 1-3,,true,,102,533,10,30,0,0,0
1613384565007,18,Statistics,200,,Thread Group - Statistics 2-3,text,true,,221,323,10,30,6,0,0
1613384565015,16,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,330,10,30,5,0,0
1613384565594,5,Ticks,204,,Thread Group - Ticks 1-11,,true,,102,536,11,31,0,0,1
1613384565598,13,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,533,11,32,13,0,0
1613384565603,10,Statistics,200,,Thread Group - Statistics 2-1,text,true,,221,323,11,32,3,0,0
1613384565605,15,Statistics,200,,Thread Group - Statistics 2-11,text,true,,221,323,11,32,2,0,1
1613384565626,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-11,text,true,,264,333,11,33,2,0,1
1613384565616,13,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,330,11,33,3,0,0
1613384566804,11,Statistics,200,,Thread Group - Statistics 2-12,text,true,,220,323,12,35,2,0,1
1613384566796,3,Ticks,204,,Thread Group - Ticks 1-12,,true,,102,536,12,34,0,0,1
1613384566827,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-12,text,true,,264,333,12,36,2,0,1
1613384568005,17,Statistics,200,,Thread Group - Statistics 2-13,text,true,,221,323,13,38,6,0,2
1613384567996,9,Ticks,204,,Thread Group - Ticks 1-13,,true,,102,536,13,38,0,0,3
1613384568028,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-13,text,true,,264,333,13,39,2,0,1
