timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1617171878793,198,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,535,1,3,192,0,43,2021-03-31 08:24:38.438
1617171878768,337,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,322,1,3,331,0,68,2021-03-31 08:24:38.455
1617171878768,377,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,332,1,3,364,0,68,2021-03-31 08:24:38.503
1617171879605,10,Ticks,201,,Thread Group - Ticks 1-2,,true,,121,535,2,4,10,0,2,2021-03-31 08:24:39.602
1617171879674,6,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,322,2,5,5,0,1,2021-03-31 08:24:39.672
1617171879705,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,332,2,6,7,0,2,2021-03-31 08:24:39.702
1617171880800,5,Ticks,201,,Thread Group - Ticks 1-3,,true,,121,535,3,7,5,0,1,2021-03-31 08:24:40.798
1617171880877,4,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,322,3,8,4,0,1,2021-03-31 08:24:40.876
1617171880913,13,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,12,0,1,2021-03-31 08:24:40.911
1617171881465,4,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,3,9,3,0,0,2021-03-31 08:24:39.188
1617171881488,7,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,532,3,9,7,0,0,2021-03-31 08:24:39.069
1617171881510,10,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,3,9,8,0,0,2021-03-31 08:24:39.188
1617171882011,8,Ticks,204,,Thread Group - Ticks 1-4,,true,,102,535,4,10,0,0,4,2021-03-31 08:24:42.007
1617171882075,9,Statistics,200,,Thread Group - Statistics 2-4,text,true,,220,322,4,11,8,0,3,2021-03-31 08:24:42.070
1617171882150,14,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,5,0,1,2021-03-31 08:24:42.147
1617171883226,6,Ticks,204,,Thread Group - Ticks 1-5,,true,,102,535,5,13,0,0,1,2021-03-31 08:24:43.224
1617171883269,4,Statistics,200,,Thread Group - Statistics 2-5,text,true,,220,322,5,14,4,0,1,2021-03-31 08:24:43.268
1617171883327,7,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,15,6,0,2,2021-03-31 08:24:43.325
