timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1617173819376,67,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,535,1,3,0,0,41,2021-03-31 08:56:58.976
1617173819339,175,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,322,1,3,167,0,78,2021-03-31 08:56:58.989
1617173819339,175,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,332,1,3,167,0,78,2021-03-31 08:56:59.013
1617173820166,8,Ticks,201,,Thread Group - Ticks 1-2,,true,,121,535,2,4,8,0,2,2021-03-31 08:57:00.163
1617173820227,10,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,332,2,6,9,0,2,2021-03-31 08:57:00.223
1617173820189,10,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,322,2,5,9,0,3,2021-03-31 08:57:00.186
1617173821352,5,Ticks,201,,Thread Group - Ticks 1-3,,true,,121,535,3,7,5,0,2,2021-03-31 08:57:01.351
1617173821369,6,Statistics,200,,Thread Group - Statistics 2-3,text,true,,214,322,3,8,6,0,2,2021-03-31 08:57:01.368
1617173821422,6,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,6,0,1,2021-03-31 08:57:01.420
1617173822015,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,3,9,8,0,0,2021-03-31 08:56:59.550
1617173821993,7,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,532,3,9,7,0,0,2021-03-31 08:56:59.550
1617173822054,13,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,3,9,12,0,0,2021-03-31 08:56:59.550
1617173822553,6,Ticks,201,,Thread Group - Ticks 1-4,,true,,121,535,4,10,6,0,2,2021-03-31 08:57:02.551
1617173822576,15,Statistics,200,,Thread Group - Statistics 2-4,text,true,,220,322,4,11,14,0,6,2021-03-31 08:57:02.573
1617173822628,15,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,13,0,6,2021-03-31 08:57:02.626
1617173823750,5,Ticks,204,,Thread Group - Ticks 1-5,,true,,102,535,5,13,0,0,1,2021-03-31 08:57:03.748
1617173823783,5,Statistics,200,,Thread Group - Statistics 2-5,text,true,,220,322,5,14,4,0,1,2021-03-31 08:57:03.782
1617173823813,14,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,15,14,0,7,2021-03-31 08:57:03.808
1617173824980,5,Ticks,201,,Thread Group - Ticks 1-6,,true,,121,535,6,17,5,0,1,2021-03-31 08:57:04.978
1617173824985,5,Statistics,200,,Thread Group - Statistics 2-6,text,true,,220,322,6,17,4,0,1,2021-03-31 08:57:04.983
1617173825016,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,264,332,6,18,4,0,1,2021-03-31 08:57:05.014
1617173826148,5,Ticks,201,,Thread Group - Ticks 1-7,,true,,121,535,7,19,5,0,1,2021-03-31 08:57:06.146
1617173826189,7,Statistics,200,,Thread Group - Statistics 2-2,text,true,,220,322,7,20,6,0,0,2021-03-31 08:57:00.243
1617173826167,8,Ticks,201,,Thread Group - Ticks 1-2,,true,,121,532,7,19,8,0,0,2021-03-31 08:57:00.242
1617173826215,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,264,332,7,21,8,0,2,2021-03-31 08:57:06.212
1617173826196,11,Statistics,200,,Thread Group - Statistics 2-7,text,true,,220,322,7,20,10,0,2,2021-03-31 08:57:06.193
1617173826228,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,264,329,7,21,7,0,0,2021-03-31 08:57:00.239
1617173827387,5,Ticks,204,,Thread Group - Ticks 1-8,,true,,102,536,8,22,0,0,1,2021-03-31 08:57:07.384
1617173827395,6,Statistics,200,,Thread Group - Statistics 2-8,text,true,,220,323,8,23,5,0,2,2021-03-31 08:57:07.392
1617173827421,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-8,text,true,,264,333,8,24,7,0,2,2021-03-31 08:57:07.414
1617173828553,6,Ticks,201,,Thread Group - Ticks 1-9,,true,,121,536,9,25,6,0,2,2021-03-31 08:57:08.551
1617173828591,7,Statistics,200,,Thread Group - Statistics 2-9,text,true,,220,323,9,26,6,0,2,2021-03-31 08:57:08.588
1617173828632,11,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-9,text,true,,264,333,9,27,9,0,3,2021-03-31 08:57:08.627
1617173829714,3,Ticks,201,,Thread Group - Ticks 1-10,,true,,121,536,10,28,3,0,1,2021-03-31 08:57:09.712
1617173829797,3,Statistics,200,,Thread Group - Statistics 2-10,text,true,,220,323,10,29,3,0,1,2021-03-31 08:57:09.796
1617173829813,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-10,text,true,,264,333,10,30,7,0,1,2021-03-31 08:57:09.811
1617173830354,5,Ticks,201,,Thread Group - Ticks 1-3,,true,,121,533,10,30,5,0,0,2021-03-31 08:57:01.392
1617173830370,10,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,323,10,30,8,0,0,2021-03-31 08:57:01.392
1617173830422,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,330,10,30,7,0,0,2021-03-31 08:57:01.465
1617173830933,6,Ticks,201,,Thread Group - Ticks 1-11,,true,,121,536,11,31,6,0,2,2021-03-31 08:57:10.931
1617173830990,5,Statistics,200,,Thread Group - Statistics 2-11,text,true,,221,323,11,32,5,0,1,2021-03-31 08:57:10.988
1617173831016,11,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,330,11,33,10,0,0,2021-03-31 08:57:02.048
1617173830993,9,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,533,11,32,9,0,0,2021-03-31 08:57:02.050
1617173831019,29,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-11,text,true,,264,333,11,33,25,0,14,2021-03-31 08:57:11.011
1617173831056,10,Statistics,200,,Thread Group - Statistics 2-1,text,true,,221,323,11,33,9,0,0,2021-03-31 08:57:02.124
