timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1617177291890,113,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,535,1,3,112,0,71,2021-03-31 09:54:51.574
1617177291856,147,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,322,1,3,139,0,105,2021-03-31 09:54:51.583
1617177291856,147,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,332,1,3,139,0,105,2021-03-31 09:54:51.648
1617177292766,5,Ticks,204,,Thread Group - Ticks 1-2,,true,,102,535,2,4,0,0,2,2021-03-31 09:54:52.761
1617177292786,4,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,322,2,5,4,0,2,2021-03-31 09:54:52.782
1617177292832,7,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,332,2,6,6,0,2,2021-03-31 09:54:52.825
1617177293967,5,Ticks,201,,Thread Group - Ticks 1-3,,true,,121,535,3,7,5,0,1,2021-03-31 09:54:53.961
1617177293979,7,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,322,3,8,6,0,3,2021-03-31 09:54:53.978
1617177294025,9,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,8,0,4,2021-03-31 09:54:54.020
1617177294598,4,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,3,9,4,0,0,2021-03-31 09:54:52.141
1617177294598,4,Ticks,204,,Thread Group - Ticks 1-1,,true,,102,532,3,9,0,0,0,2021-03-31 09:54:52.098
1617177294657,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,3,9,7,0,0,2021-03-31 09:54:52.144
1617177295165,7,Ticks,201,,Thread Group - Ticks 1-4,,true,,121,535,4,10,7,0,3,2021-03-31 09:54:55.159
1617177295194,7,Statistics,200,,Thread Group - Statistics 2-4,text,true,,214,322,4,11,6,0,2,2021-03-31 09:54:55.192
1617177295252,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,8,0,4,2021-03-31 09:54:55.244
1617177296353,4,Ticks,204,,Thread Group - Ticks 1-5,,true,,102,535,5,13,0,0,2,2021-03-31 09:54:56.351
1617177296386,7,Statistics,200,,Thread Group - Statistics 2-5,text,true,,220,322,5,14,7,0,4,2021-03-31 09:54:56.383
1617177296447,8,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,15,7,0,3,2021-03-31 09:54:56.444
1617177297630,25,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,264,332,6,18,23,0,11,2021-03-31 09:54:57.626
1617177297633,12,Statistics,200,,Thread Group - Statistics 2-6,text,true,,220,322,6,18,11,0,7,2021-03-31 09:54:57.628
1617177297573,18,Ticks,201,,Thread Group - Ticks 1-6,,true,,121,535,6,16,18,0,7,2021-03-31 09:54:57.558
1617177298767,12,Ticks,201,,Thread Group - Ticks 1-2,,true,,121,532,7,19,12,0,0,2021-03-31 09:54:52.828
1617177298752,10,Ticks,201,,Thread Group - Ticks 1-7,,true,,121,535,7,19,10,0,2,2021-03-31 09:54:58.749
1617177298793,9,Statistics,200,,Thread Group - Statistics 2-7,text,true,,220,322,7,20,8,0,6,2021-03-31 09:54:58.783
1617177298833,19,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,329,7,21,18,0,0,2021-03-31 09:54:52.894
1617177298836,25,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,264,332,7,21,23,0,4,2021-03-31 09:54:58.833
1617177298834,23,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,322,7,21,23,0,0,2021-03-31 09:54:52.833
1617177299948,5,Ticks,201,,Thread Group - Ticks 1-8,,true,,121,536,8,22,5,0,2,2021-03-31 09:54:59.944
1617177299997,6,Statistics,200,,Thread Group - Statistics 2-8,text,true,,221,323,8,23,6,0,3,2021-03-31 09:54:59.982
