timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1610559714401,17,Ticks,201,,Thread Group - Ticks 1-1,,true,,121,448,1,3,17,0,9
1610559714385,33,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,1,3,33,0,25
1610559714385,33,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,264,332,1,3,33,0,25
1610559715527,5,Ticks,400,,Thread Group - Ticks 1-2,,false,Test failed: code expected to match /201/,92,448,2,4,5,0,2
1610559715549,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,264,332,2,6,4,0,2
1610559715539,6,Statistics,200,,Thread Group - Statistics 2-2,text,true,,222,322,2,5,5,0,2
1610559716728,5,Ticks,400,,Thread Group - Ticks 1-3,,false,Test failed: code expected to match /201/,92,448,3,7,5,0,3
1610559716739,6,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,322,3,8,5,0,2
1610559716753,11,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,9,0,2
1610559717328,2,Ticks,400,,Thread Group - Ticks 1-1,,false,Test failed: code expected to match /201/,92,445,3,9,2,0,0
1610559717351,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,3,9,2,0,0
1610559717352,3,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,3,9,2,0,0
1610559717930,11,Ticks,400,,Thread Group - Ticks 1-4,,false,Test failed: code expected to match /201/,92,448,4,10,11,0,5
1610559717953,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,4,0,2
1610559717958,4,Statistics,200,,Thread Group - Statistics 2-4,text,true,,220,322,4,12,4,0,2
1610559719125,4,Ticks,201,,Thread Group - Ticks 1-5,,true,,121,448,5,13,4,0,3
1610559719151,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,15,4,0,2
1610559719155,5,Statistics,200,,Thread Group - Statistics 2-5,text,true,,220,322,5,15,5,0,3
1610559720327,5,Ticks,201,,Thread Group - Ticks 1-6,,true,,121,448,6,16,5,0,2
1610559720346,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,264,332,6,18,4,0,2
1610559720337,3,Statistics,200,,Thread Group - Statistics 2-6,text,true,,220,322,6,17,3,0,2
1610559721525,4,Ticks,204,,Thread Group - Ticks 1-2,,false,Test failed: code expected to match /201/,102,445,7,19,0,0,2
1610559721527,5,Ticks,201,,Thread Group - Ticks 1-7,,true,,121,448,7,19,5,0,2
1610559721538,4,Statistics,200,,Thread Group - Statistics 2-7,text,true,,220,322,7,20,4,0,2
1610559721539,6,Statistics,200,,Thread Group - Statistics 2-2,text,true,,220,322,7,21,3,0,0
1610559721547,14,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,264,332,7,21,7,0,2
1610559721549,12,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,329,7,21,7,0,0
1610559722726,4,Ticks,201,,Thread Group - Ticks 1-8,,true,,121,449,8,22,4,0,1
1610559722746,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-8,text,true,,264,333,8,23,4,0,2
1610559722754,4,Statistics,200,,Thread Group - Statistics 2-8,text,true,,220,323,8,24,4,0,2
1610559723926,2,Ticks,201,,Thread Group - Ticks 1-9,,true,,121,449,9,25,2,0,1
1610559723945,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-9,text,true,,264,333,9,26,2,0,1
1610559723953,3,Statistics,200,,Thread Group - Statistics 2-9,text,true,,220,323,9,27,3,0,2
1610559725129,5,Ticks,400,,Thread Group - Ticks 1-10,,false,Test failed: code expected to match /201/,92,449,10,28,5,0,2
1610559725147,6,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-10,text,true,,264,333,10,30,6,0,1
1610559725141,4,Statistics,200,,Thread Group - Statistics 2-10,text,true,,220,323,10,30,3,0,2
1610559725729,7,Ticks,201,,Thread Group - Ticks 1-3,,true,,121,446,10,30,7,0,3
