timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1610559804718,58,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,332,1,3,55,0,40,2021-01-13 18:43:24.625
1610559804728,48,Ticks,400,,Thread Group - Ticks 1-1,,false,Test failed: code expected to match /201/,92,458,1,3,45,0,30,2021-01-13 18:43:24.599
1610559804718,58,Statistics,200,,Thread Group - Statistics 2-1,text,true,,214,322,1,3,55,0,40,2021-01-13 18:43:24.602
1610559805802,2,Ticks,201,,Thread Group - Ticks 1-2,,true,,121,458,2,4,2,0,1,2021-01-13 18:43:25.798
1610559805810,3,Statistics,200,,Thread Group - Statistics 2-2,text,true,,214,322,2,5,3,0,2,2021-01-13 18:43:25.807
1610559805827,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,332,2,6,3,0,1,2021-01-13 18:43:25.824
1610559807007,6,Ticks,201,,Thread Group - Ticks 1-3,,true,,121,458,3,8,6,0,3,2021-01-13 18:43:26.996
1610559807008,6,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,322,3,8,5,0,3,2021-01-13 18:43:27.000
1610559807028,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,4,0,2,2021-01-13 18:43:27.025
1610559808192,2,Ticks,204,,Thread Group - Ticks 1-4,,false,Test failed: code expected to match /201/,102,458,4,10,0,0,1,2021-01-13 18:43:28.190
1610559808207,3,Statistics,200,,Thread Group - Statistics 2-4,text,true,,220,322,4,11,3,0,2,2021-01-13 18:43:28.204
1610559808229,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,3,0,1,2021-01-13 18:43:28.226
1610559809393,6,Ticks,400,,Thread Group - Ticks 1-5,,false,Test failed: code expected to match /201/,92,458,5,13,6,0,3,2021-01-13 18:43:29.387
1610559809412,3,Statistics,200,,Thread Group - Statistics 2-5,text,true,,220,322,5,14,3,0,1,2021-01-13 18:43:29.409
1610559809426,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,15,3,0,1,2021-01-13 18:43:29.423
1610559810602,7,Ticks,400,,Thread Group - Ticks 1-6,,false,Test failed: code expected to match /201/,92,458,6,17,7,0,4,2021-01-13 18:43:30.597
1610559810610,5,Statistics,200,,Thread Group - Statistics 2-6,text,true,,220,322,6,17,5,0,3,2021-01-13 18:43:30.607
1610559810626,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,264,332,6,18,5,0,3,2021-01-13 18:43:30.624
1610559811783,6,Ticks,204,,Thread Group - Ticks 1-7,,false,Test failed: code expected to match /201/,102,458,7,19,0,0,3,2021-01-13 18:43:31.779
1610559811809,3,Statistics,200,,Thread Group - Statistics 2-7,text,true,,220,322,7,20,3,0,1,2021-01-13 18:43:31.806
