timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect,"trxTimeStamp"
1610622352436,55,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,1,3,53,0,38,2021-01-14 12:05:52.319
1610622352449,42,Ticks,400,,Thread Group - Ticks 1-1,,false,Test failed: code expected to match /201/,92,458,1,3,39,0,25,2021-01-14 12:05:52.307
1610622352436,55,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,264,332,1,3,53,0,38,2021-01-14 12:05:52.336
1610622353506,3,Ticks,400,,Thread Group - Ticks 1-2,,false,Test failed: code expected to match /201/,92,458,2,4,3,0,1,2021-01-14 12:05:53.504
1610622353520,3,Statistics,200,,Thread Group - Statistics 2-2,text,true,,220,322,2,5,2,0,1,2021-01-14 12:05:53.518
1610622353540,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,264,332,2,6,2,0,1,2021-01-14 12:05:53.537
1610622354703,3,Ticks,204,,Thread Group - Ticks 1-3,,false,Test failed: code expected to match /201/,102,458,3,7,0,0,1,2021-01-14 12:05:54.701
1610622354721,2,Statistics,200,,Thread Group - Statistics 2-3,text,true,,220,322,3,8,2,0,1,2021-01-14 12:05:54.718
1610622354739,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-3,text,true,,264,332,3,9,2,0,1,2021-01-14 12:05:54.737
1610622355921,8,Statistics,200,,Thread Group - Statistics 2-4,text,true,,220,322,4,11,5,0,2,2021-01-14 12:05:55.918
1610622355908,6,Ticks,201,,Thread Group - Ticks 1-4,,true,,121,458,4,10,6,0,3,2021-01-14 12:05:55.902
1610622355940,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-4,text,true,,264,332,4,12,3,0,1,2021-01-14 12:05:55.937
1610622357101,3,Ticks,204,,Thread Group - Ticks 1-5,,false,Test failed: code expected to match /201/,102,458,5,13,0,0,1,2021-01-14 12:05:57.099
1610622357120,3,Statistics,200,,Thread Group - Statistics 2-5,text,true,,220,322,5,14,3,0,2,2021-01-14 12:05:57.119
1610622357139,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-5,text,true,,264,332,5,15,3,0,2,2021-01-14 12:05:57.138
1610622358299,4,Ticks,400,,Thread Group - Ticks 1-6,,false,Test failed: code expected to match /201/,92,458,6,16,4,0,2,2021-01-14 12:05:58.296
1610622358320,2,Statistics,200,,Thread Group - Statistics 2-6,text,true,,220,322,6,17,2,0,1,2021-01-14 12:05:58.318
1610622358338,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-6,text,true,,264,332,6,18,3,0,2,2021-01-14 12:05:58.336
1610622359503,3,Ticks,400,,Thread Group - Ticks 1-7,,false,Test failed: code expected to match /201/,92,458,7,19,3,0,1,2021-01-14 12:05:59.501
1610622359520,2,Statistics,200,,Thread Group - Statistics 2-7,text,true,,220,322,7,20,2,0,1,2021-01-14 12:05:59.519
1610622359538,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-7,text,true,,264,332,7,21,2,0,1,2021-01-14 12:05:59.537
1610622360695,3,Ticks,201,,Thread Group - Ticks 1-8,,true,,121,458,8,22,3,0,1,2021-01-14 12:06:00.693
1610622360719,3,Statistics,200,,Thread Group - Statistics 2-8,text,true,,220,322,8,23,3,0,1,2021-01-14 12:06:00.717
1610622360738,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-8,text,true,,264,332,8,24,3,0,1,2021-01-14 12:06:00.736
1610622361321,3,Ticks,400,,Thread Group - Ticks 1-1,,false,Test failed: code expected to match /201/,92,455,8,24,3,0,1,2021-01-14 12:05:52.548
1610622361339,6,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-1,text,true,,258,329,8,24,6,0,0,2021-01-14 12:05:52.550
1610622361321,3,Statistics,200,,Thread Group - Statistics 2-1,text,true,,220,322,8,24,3,0,0,2021-01-14 12:05:52.548
1610622361895,4,Ticks,201,,Thread Group - Ticks 1-9,,true,,121,459,9,25,4,0,2,2021-01-14 12:06:01.893
1610622361942,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-9,text,true,,264,333,9,27,4,0,2,2021-01-14 12:06:01.937
1610622361921,6,Statistics,200,,Thread Group - Statistics 2-9,text,true,,220,323,9,26,6,0,3,2021-01-14 12:06:01.917
1610622363091,2,Ticks,201,,Thread Group - Ticks 1-10,,true,,121,459,10,28,2,0,1,2021-01-14 12:06:03.089
1610622363120,3,Statistics,200,,Thread Group - Statistics 2-10,text,true,,220,323,10,29,3,0,2,2021-01-14 12:06:03.118
1610622363140,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-10,text,true,,264,333,10,30,5,0,2,2021-01-14 12:06:03.137
1610622364285,2,Ticks,201,,Thread Group - Ticks 1-11,,true,,121,459,11,31,2,0,1,2021-01-14 12:06:04.283
1610622364320,5,Statistics,200,,Thread Group - Statistics 2-11,text,true,,220,323,11,32,4,0,2,2021-01-14 12:06:04.318
1610622364346,7,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-11,text,true,,264,333,11,33,7,0,2,2021-01-14 12:06:04.343
1610622365478,3,Ticks,201,,Thread Group - Ticks 1-12,,true,,121,459,12,34,3,0,1,2021-01-14 12:06:05.476
1610622365520,5,Statistics,200,,Thread Group - Statistics 2-12,text,true,,220,323,12,35,5,0,3,2021-01-14 12:06:05.518
1610622365540,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-12,text,true,,264,333,12,36,3,0,1,2021-01-14 12:06:05.537
1610622366686,3,Ticks,204,,Thread Group - Ticks 1-13,,false,Test failed: code expected to match /201/,102,459,13,37,0,0,1,2021-01-14 12:06:06.685
1610622366719,4,Statistics,200,,Thread Group - Statistics 2-13,text,true,,220,323,13,38,4,0,2,2021-01-14 12:06:06.718
1610622366740,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-13,text,true,,264,333,13,39,2,0,1,2021-01-14 12:06:06.737
1610622367883,3,Ticks,400,,Thread Group - Ticks 1-14,,false,Test failed: code expected to match /201/,92,459,14,40,3,0,2,2021-01-14 12:06:07.882
1610622367940,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-14,text,true,,264,333,14,42,3,0,2,2021-01-14 12:06:07.936
1610622367919,4,Statistics,200,,Thread Group - Statistics 2-14,text,true,,220,323,14,41,4,0,1,2021-01-14 12:06:07.917
1610622369081,3,Ticks,400,,Thread Group - Ticks 1-15,,false,Test failed: code expected to match /201/,92,459,15,43,3,0,1,2021-01-14 12:06:09.079
1610622369119,4,Statistics,200,,Thread Group - Statistics 2-15,text,true,,220,323,15,44,4,0,2,2021-01-14 12:06:09.118
1610622369139,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-15,text,true,,264,333,15,45,3,0,1,2021-01-14 12:06:09.137
1610622370279,3,Ticks,400,,Thread Group - Ticks 1-16,,false,Test failed: code expected to match /201/,92,459,16,46,3,0,1,2021-01-14 12:06:10.277
1610622370320,4,Statistics,200,,Thread Group - Statistics 2-16,text,true,,220,323,16,47,4,0,1,2021-01-14 12:06:10.318
1610622370339,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-16,text,true,,264,333,16,48,3,0,1,2021-01-14 12:06:10.337
1610622371477,2,Ticks,400,,Thread Group - Ticks 1-17,,false,Test failed: code expected to match /201/,92,459,17,49,2,0,1,2021-01-14 12:06:11.475
1610622371506,2,Ticks,201,,Thread Group - Ticks 1-2,,true,,121,456,17,49,2,0,1,2021-01-14 12:05:53.540
1610622371520,6,Statistics,200,,Thread Group - Statistics 2-2,text,true,,220,323,17,50,5,0,0,2021-01-14 12:05:53.545
1610622371523,8,Statistics,200,,Thread Group - Statistics 2-17,text,true,,220,323,17,50,6,0,3,2021-01-14 12:06:11.519
1610622371542,6,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-17,text,true,,264,333,17,51,5,0,2,2021-01-14 12:06:11.538
1610622371540,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-2,text,true,,258,330,17,51,5,0,0,2021-01-14 12:05:53.582
1610622372675,3,Ticks,400,,Thread Group - Ticks 1-18,,false,Test failed: code expected to match /201/,92,459,18,52,3,0,1,2021-01-14 12:06:12.673
1610622372720,5,Statistics,200,,Thread Group - Statistics 2-18,text,true,,221,323,18,53,5,0,1,2021-01-14 12:06:12.718
1610622372739,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-18,text,true,,264,333,18,54,3,0,1,2021-01-14 12:06:12.737
1610622373873,3,Ticks,201,,Thread Group - Ticks 1-19,,true,,121,459,19,55,3,0,1,2021-01-14 12:06:13.872
1610622373920,5,Statistics,200,,Thread Group - Statistics 2-19,text,true,,221,323,19,56,5,0,3,2021-01-14 12:06:13.919
1610622373939,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-19,text,true,,264,333,19,57,4,0,2,2021-01-14 12:06:13.938
1610622375071,3,Ticks,204,,Thread Group - Ticks 1-20,,false,Test failed: code expected to match /201/,102,459,20,58,0,0,2,2021-01-14 12:06:15.070
1610622375120,3,Statistics,200,,Thread Group - Statistics 2-20,text,true,,220,323,20,59,3,0,2,2021-01-14 12:06:15.119
1610622375139,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-20,text,true,,264,333,20,60,4,0,1,2021-01-14 12:06:15.137
1610622376270,2,Ticks,204,,Thread Group - Ticks 1-21,,false,Test failed: code expected to match /201/,102,459,21,61,0,0,1,2021-01-14 12:06:16.268
1610622376320,2,Statistics,200,,Thread Group - Statistics 2-21,text,true,,221,323,21,62,2,0,1,2021-01-14 12:06:16.318
1610622376340,5,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-21,text,true,,264,333,21,63,4,0,1,2021-01-14 12:06:16.337
1610622377468,2,Ticks,204,,Thread Group - Ticks 1-22,,false,Test failed: code expected to match /201/,102,459,22,64,0,0,1,2021-01-14 12:06:17.466
1610622377520,2,Statistics,200,,Thread Group - Statistics 2-22,text,true,,220,323,22,65,2,0,1,2021-01-14 12:06:17.520
1610622377538,3,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-22,text,true,,264,333,22,66,3,0,1,2021-01-14 12:06:17.536
1610622378667,2,Ticks,201,,Thread Group - Ticks 1-23,,true,,121,459,23,67,2,0,0,2021-01-14 12:06:18.666
1610622378720,2,Statistics,200,,Thread Group - Statistics 2-23,text,true,,221,323,23,68,2,0,1,2021-01-14 12:06:18.720
1610622378737,4,Statistics Instruments,200,,Thread Group - Statistics Instruments 3-23,text,true,,264,333,23,69,4,0,2,2021-01-14 12:06:18.737
1610622379867,2,Ticks,201,,Thread Group - Ticks 1-24,,true,,121,459,24,70,2,0,1,2021-01-14 12:06:19.865
1610622379919,2,Statistics,200,,Thread Group - Statistics 2-24,text,true,,221,323,24,71,2,0,1,2021-01-14 12:06:19.918
